,raw,json,bird,alternate_names,scientific_name
456,"The greater lophorina (Lophorina superba), also known as superb bird-of-paradise or greater superb bird-of-paradise, is a species of the Paradisaeidae (bird-of-paradise) family","{'bird': 'greater lophorina', 'alternate_names': ['superb bird-of-paradise', 'greater superb bird-of-paradise'], 'scientific_name': 'Lophorina superba'}",greater lophorina,"['superb bird-of-paradise', 'greater superb bird-of-paradise']",Lophorina superba
459,The greater painted-snipe (Rostratula benghalensis) is a species of wader in the family Rostratulidae,"{'bird': 'greater painted-snipe', 'alternate_names': ['Rostratula benghalensis'], 'scientific_name': 'Rostratula benghalensis'}",greater painted-snipe,['Rostratula benghalensis'],Rostratula benghalensis
460,The greater pewee (Contopus pertinax) is a passerine and is in the tyrant flycatcher group,"{'bird': 'greater pewee', 'alternate_names': 'Contopus pertinax', 'scientific_name': 'Passerine, Tyrant Flycatcher'}",greater pewee,Contopus pertinax,"Passerine, Tyrant Flycatcher"
462,The greater racket-tailed drongo (Dicrurus paradiseus) is a medium-sized Asian bird which is distinctive in having elongated outer tail feathers with webbing restricted to the tips,"{'bird': 'greater racket-tailed drongo', 'alternate_names': 'Dicrurus paradiseus', 'scientific_name': 'Dicrurus paradiseus'}",greater racket-tailed drongo,Dicrurus paradiseus,Dicrurus paradiseus
464,"The greater roadrunner (Geococcyx californianus) is a long-legged bird in the cuckoo family, Cuculidae, from the Aridoamerica region in the Southwestern United States and Mexico","{'bird': 'greater roadrunner', 'alternate_names': 'Geococcyx californianus', 'scientific_name': 'Cuculidae'}",greater roadrunner,Geococcyx californianus,Cuculidae
465,"The greater sage-grouse (Centrocercus urophasianus), also known as the sagehen, is the largest grouse (a type of bird) in North America","{'bird': 'The greater sage-grouse', 'alternate_names': 'sagehen', 'scientific_name': 'Centrocercus urophasianus'}",The greater sage-grouse,sagehen,Centrocercus urophasianus
466,The greater sand plover (Charadrius leschenaultii) is a small wader in the plover family of birds,"{'bird': 'greater sand plover', 'alternate_names': 'Charadrius leschenaultii', 'scientific_name': 'Charadrius leschenaultii'}",greater sand plover,Charadrius leschenaultii,Charadrius leschenaultii
467,"The American robin, also known as the robin redbreast, is a migratory songbird with the scientific name Turdus migratorius.","{'bird': 'American robin','alternate_names': ['robin redbreast'],'scientific_name': 'Turdus migratorius'}",American robin,['robin redbreast'],Turdus migratorius
473,The greater swamp warbler (Acrocephalus rufescens) is a species of Old World warbler in the family Acrocephalidae,"{'bird': 'Greater Swamp Warbler', 'alternate_names': 'Acrocephalus rufescens', 'scientific_name': 'Acrocephalus rufescens'}",Greater Swamp Warbler,Acrocephalus rufescens,Acrocephalus rufescens
474,The greater thornbird (Phacellodomus ruber) is a species of bird in the family Furnariidae,"{'bird': 'greater thornbird', 'alternate_names': 'Phacellodomus ruber', 'scientific_name': 'Furnariidae'}",greater thornbird,Phacellodomus ruber,Furnariidae
475,"The greater vasa parrot (Coracopsis vasa) is one of two species of vasa parrot, the other being the lesser vasa parrot C","{'bird': 'Vasa Parrot', 'alternate_names': ['Greater Vasa Parrot', 'Lesser Vasa Parrot'], 'scientific_name': 'Coracopsis vasa'}",Vasa Parrot,"['Greater Vasa Parrot', 'Lesser Vasa Parrot']",Coracopsis vasa
476,The greater wagtail-tyrant (Stigmatura budytoides) is a South American species of bird in the family Tyrannidae,"{'bird': 'greater wagtail-tyrant', 'alternate_names': 'Stigmatura budytoides', 'scientific_name': 'Tyrannidae'}",greater wagtail-tyrant,Stigmatura budytoides,Tyrannidae
478,The greater yellow finch (Sicalis auriventris) is a species of bird in the family Thraupidae,"{'bird': 'greater yellow finch', 'alternate_names': 'Sicalis auriventris', 'scientific_name': 'Thraupidae'}",greater yellow finch,Sicalis auriventris,Thraupidae
479,"The greater yellow-headed vulture (Cathartes melambrotus), also known as the forest vulture,[3] is a species of bird in the New World vulture family Cathartidae","{'bird': 'greater yellow-headed vulture', 'alternate_names': ['forest vulture'], 'scientific_name': 'Cathartes melambrotus'}",greater yellow-headed vulture,['forest vulture'],Cathartes melambrotus
482,"The great-tailed grackle or Mexican grackle (Quiscalus mexicanus) is a medium-sized, highly social passerine bird native to North and South America","{'bird': 'Great-tailed Grackle', 'alternate_names': ['Mexican Grackle'], 'scientific_name': 'Quiscalus mexicanus'}",Great-tailed Grackle,['Mexican Grackle'],Quiscalus mexicanus
483,The great-winged petrel (Pterodroma macroptera) is a petrel,"{'bird': 'Great-winged petrel', 'alternate_names': ['Pterodroma macroptera'], 'scientific_name': 'Pterodroma macroptera'}",Great-winged petrel,['Pterodroma macroptera'],Pterodroma macroptera
484,"The green araçari (Pteroglossus viridis), is a toucan, a near-passerine bird","{'bird': 'Green araçari', 'alternate_names': 'Toucan', 'scientific_name': 'Pteroglossus viridis'}",Green araçari,Toucan,Pteroglossus viridis
485,Stictospiza formosaEstrilda formosa Sporaeginthus formosus,"{'bird': 'Stictospiza formosa', 'alternate_names': ['Estrilda formosa', 'Sporaeginthus formosus'], 'scientific_name': 'Stictospiza formosa'}",Stictospiza formosa,"['Estrilda formosa', 'Sporaeginthus formosus']",Stictospiza formosa
486,The green-backed twinspot or green twinspot (Mandingoa nitidula) is an estrildid finch found in many parts of Sub-Saharan Africa,"{'bird': 'Green-backed Twinspot', 'alternate_names': 'Green Twinspot', 'scientific_name': 'Mandingoa nitidula'}",Green-backed Twinspot,Green Twinspot,Mandingoa nitidula
487,The green barbet (Stactolaema olivacea) is a species of bird in the Lybiidae family (African barbets),"{'bird': 'green barbet', 'alternate_names': 'Stactolaema olivacea', 'scientific_name': 'Lybiidae family'}",green barbet,Stactolaema olivacea,Lybiidae family
488,Green bee-eater has been split into the following species:,"{'bird': 'Green bee-eater', 'alternate_names': [], 'scientific_name': ''}",Green bee-eater,,
489,The green broadbill (Calyptomena viridis) also known as the lesser green broadbill is a small bird in the family Calyptomenidae,"{'bird': 'green broadbill', 'alternate_names': 'lesser green broadbill', 'scientific_name': 'Calyptomena viridis'}",green broadbill,lesser green broadbill,Calyptomena viridis
490,"The green catbird (Ailuroedus crassirostris) is a species of bowerbird found in subtropical forests along the east coast of Australia, from southeastern Queensland to southern New South Wales","{'bird': 'green catbird', 'alternate_names': 'Ailuroedus crassirostris', 'scientific_name': 'Ailuroedus crassirostris'}",green catbird,Ailuroedus crassirostris,Ailuroedus crassirostris
491,The green cochoa (Cochoa viridis) is a bird species that was variously placed with the thrushes of family Turdidae or the related Muscicapidae (Old World flycatchers),"{'bird': 'green cochoa', 'alternate_names': ['Cochoa viridis'], 'scientific_name': 'Cochoa viridis'}",green cochoa,['Cochoa viridis'],Cochoa viridis
492,"The green crombec (Sylvietta virens) is a species of African warbler, formerly placed in the family Sylviidae","{'bird': 'Green Crombec', 'alternate_names': ['Sylvietta virens'], 'scientific_name': 'Sylvietta virens'}",Green Crombec,['Sylvietta virens'],Sylvietta virens
493,The green figbird or Timor figbird (Sphecotheres viridis) is a species of bird in the family Oriolidae,"{'bird': 'green figbird', 'alternate_names': 'Timor figbird', 'scientific_name': 'Sphecotheres viridis'}",green figbird,Timor figbird,Sphecotheres viridis
494,"The green hermit (Phaethornis guy) is a large hummingbird that is a resident breeder from southern Central America (Costa Rica and Panama) south to northern South America (north-eastern Venezuela and Trinidad, and the northern Andes of eastern Peru)","{'bird': 'Green Hermit', 'alternate_names': 'Phaethornis guy', 'scientific_name': 'Phaethornis guy'}",Green Hermit,Phaethornis guy,Phaethornis guy
496,The green honeycreeper (Chlorophanes spiza) is a small bird in the tanager family,"{'bird': 'green honeycreeper', 'alternate_names': 'Chlorophanes spiza', 'scientific_name': 'Tanager family'}",green honeycreeper,Chlorophanes spiza,Tanager family
497,"The green hylia (Hylia prasina) is a monotypic genus widespread in tropical Africa, where it mostly inhabits the understory and mid-stratum of moist forest","{'bird': 'Green Hylia', 'alternate_names': ['Hylia prasina'], 'scientific_name': 'Hylia prasina'}",Green Hylia,['Hylia prasina'],Hylia prasina
498,"The green ibis (Mesembrinibis cayennensis), also known as the Cayenne ibis, is a wading bird in the ibis family Threskiornithidae","{'bird': 'green ibis', 'alternate_names': 'Cayenne ibis', 'scientific_name': 'Mesembrinibis cayennensis'}",green ibis,Cayenne ibis,Mesembrinibis cayennensis
499,The green imperial pigeon (Ducula aenea) is a large forest pigeon,"{'bird': 'green imperial pigeon', 'alternate_names': 'Ducula aenea', 'scientific_name': 'Ducula aenea'}",green imperial pigeon,Ducula aenea,Ducula aenea
500,The green iora (Aegithina viridissima) is a species of bird in the family Aegithinidae,"{'bird': 'green iora', 'alternate_names': [], 'scientific_name': 'Aegithina viridissima'}",green iora,,Aegithina viridissima
501,"The green jay (Cyanocorax luxuosus) is a species of the New World jays, and is found in Central America","{'bird': 'Green Jay', 'alternate_names': ['Cyanocorax luxuosus'], 'scientific_name': 'Cyanocorax luxuosus'}",Green Jay,['Cyanocorax luxuosus'],Cyanocorax luxuosus
502,The green jery (Neomixis viridis) is a species of bird in the family Cisticolidae,"{'bird': 'Green jery', 'alternate_names': ['Neomixis viridis'], 'scientific_name': 'Neomixis viridis'}",Green jery,['Neomixis viridis'],Neomixis viridis
503,"The green junglefowl (Gallus varius), also known as Javan junglefowl, forktail or green Javanese junglefowl, is the most distantly related and the first to diverge at least 4 million years ago among the four species of the junglefowl","{'bird': 'Green Junglefowl', 'alternate_names': ['Javan Junglefowl', 'Forktail', 'Green Javanese Junglefowl'], 'scientific_name': 'Gallus varius'}",Green Junglefowl,"['Javan Junglefowl', 'Forktail', 'Green Javanese Junglefowl']",Gallus varius
505,"The green longtail (Urolais epichlorus) is a bird species of the family Cisticolidae, in the monotypic genus Urolais","{'bird': 'green longtail', 'alternate_names': [], 'scientific_name': 'Urolais epichlorus'}",green longtail,,Urolais epichlorus
506,The green malkoha or whistling yellowbill (Ceuthmochares australis) is a species of cuckoo in the family Cuculidae,"{'bird': 'green malkoha', 'alternate_names': 'whistling yellowbill', 'scientific_name': 'Ceuthmochares australis'}",green malkoha,whistling yellowbill,Ceuthmochares australis
508,The green mango (Anthracothorax viridis) is a large species of hummingbird in the subfamily Polytminae,"{'bird': 'hummingbird', 'alternate_names': 'none', 'scientific_name': 'Anthracothorax viridis'}",hummingbird,none,Anthracothorax viridis
509,The green oriole or Australasian yellow oriole (Oriolus flavocinctus) is an inconspicuous inhabitant of lush tropical vegetation throughout Australia and New Guinea,"{'bird': 'green oriole', 'alternate_names': 'Australasian yellow oriole', 'scientific_name': 'Oriolus flavocinctus'}",green oriole,Australasian yellow oriole,Oriolus flavocinctus
510,The green oropendola (Psarocolius viridis) is a species of bird in the family Icteridae,"{'bird': 'green oropendola', 'alternate_names': 'none', 'scientific_name': 'Psarocolius viridis'}",green oropendola,none,Psarocolius viridis
511,"The green parakeet (Psittacara holochlorus) is a medium-sized parrot occurring in North and Central America, from the southernmost tip of Texas south to northern Nicaragua","{'bird': 'green parakeet', 'alternate_names': [], 'scientific_name': 'Psittacara holochlorus'}",green parakeet,,Psittacara holochlorus
512,The green peafowl or Indonesian peafowl (Pavo muticus) is a peafowl species native to the tropical forests of Southeast Asia and Indochina,"{'bird': 'peafowl', 'alternate_names': ['green peafowl', 'Indonesian peafowl'], 'scientific_name': 'Pavo muticus'}",peafowl,"['green peafowl', 'Indonesian peafowl']",Pavo muticus
514,The green pygmy goose (Nettapus pulchellus) is a small perching duck which breeds in southern New Guinea and northern Australia,"{'bird': 'green pygmy goose', 'alternate_names': ['small perching duck'], 'scientific_name': 'Nettapus pulchellus'}",green pygmy goose,['small perching duck'],Nettapus pulchellus
515,The green racket-tail (Prioniturus luconensis) is an endemic parrot of the Philippines where it is found on Luzon and Marinduque,"{'bird': 'Green Racket-tail', 'alternate_names': ['Prioniturus luconensis'], 'scientific_name': 'Prioniturus luconensis'}",Green Racket-tail,['Prioniturus luconensis'],Prioniturus luconensis
516,The green rosella or Tasmanian rosella (Platycercus caledonicus) is a species of parrot native to Tasmania and Bass Strait islands,"{'bird': 'green rosella', 'alternate_names': 'Tasmanian rosella', 'scientific_name': 'Platycercus caledonicus'}",green rosella,Tasmanian rosella,Platycercus caledonicus
517,The green sandpiper (Tringa ochropus) is a small wader (shorebird) of the Old World,"{'bird': 'green sandpiper', 'alternate_names': ['Tringa ochropus'], 'scientific_name': 'Tringa ochropus'}",green sandpiper,['Tringa ochropus'],Tringa ochropus
518,The green shrike-babbler (Pteruthius xanthochlorus) is a bird species that was earlier placed in the family Timaliidae,"{'bird': 'Green Shrike-Babbler', 'alternate_names': ['Pteruthius xanthochlorus'], 'scientific_name': 'Pteruthius xanthochlorus'}",Green Shrike-Babbler,['Pteruthius xanthochlorus'],Pteruthius xanthochlorus
519,The green shrike-vireo (Vireolanius pulchellus) is a species of bird in the family Vireonidae,"{'bird': 'Green Shrike-Vireo', 'alternate_names': ['Vireolanius pulchellus'], 'scientific_name': 'Vireonidae'}",Green Shrike-Vireo,['Vireolanius pulchellus'],Vireonidae
521,The green tinkerbird (Pogoniulus simplex) is a species of bird in the Lybiidae family (African barbets),"{'bird': 'green tinkerbird', 'alternate_names': ['Pogoniulus simplex'], 'scientific_name': 'Lybiidae family'}",green tinkerbird,['Pogoniulus simplex'],Lybiidae family
522,"The green warbler (Phylloscopus nitidus), also known as green willow warbler or green leaf warbler, is a leaf warbler found in the Caucasus Mountains in southeastern Europe","{'bird': 'Green Warbler', 'alternate_names': ['Green Willow Warbler', 'Green Leaf Warbler'], 'scientific_name': 'Phylloscopus nitidus'}",Green Warbler,"['Green Willow Warbler', 'Green Leaf Warbler']",Phylloscopus nitidus
523,"The green warbler-finch (Certhidea olivacea) is a species of bird, one of Darwin's finches in the tanager family Thraupidae","{'bird': 'green warbler-finch', 'alternate_names': ['Certhidea olivacea'], 'scientific_name': 'Certhidea olivacea'}",green warbler-finch,['Certhidea olivacea'],Certhidea olivacea
524,The green white-eye (Zosterops stuhlmanni) is a bird species in the family Zosteropidae,"{'bird': 'green white-eye', 'alternate_names': 'Zosterops stuhlmanni', 'scientific_name': 'Zosteropidae'}",green white-eye,Zosterops stuhlmanni,Zosteropidae
525,"The green wood hoopoe (Phoeniculus purpureus) is a large, up to 44 cm (17 in) long, near-passerine tropical bird native to Africa","{'bird': 'green wood hoopoe', 'alternate_names': ['Phoeniculus purpureus'], 'scientific_name': 'Phoeniculus purpureus'}",green wood hoopoe,['Phoeniculus purpureus'],Phoeniculus purpureus
526,The green-and-black fruiteater (Pipreola riefferii) is a species of bird in the family Cotingidae,"{'bird': 'Fruiteater', 'alternate_names': 'Pipreola riefferii', 'scientific_name': 'Cotingidae'}",Fruiteater,Pipreola riefferii,Cotingidae
527,"The green-and-gold tanager (Tangara schrankii) is a species of bird in the family Thraupidae, the tanagers","{'bird': 'green-and-gold tanager', 'alternate_names': ['Tangara schrankii'], 'scientific_name': 'Thraupidae'}",green-and-gold tanager,['Tangara schrankii'],Thraupidae
529,"The green-and-white hummingbird (Elliotomyia viridicauda) is a species of hummingbird in the ""emeralds"", tribe Trochilini of subfamily Trochilinae","{'bird': 'hummingbird', 'alternate_names': 'Elliotomyia viridicauda', 'scientific_name': 'Trochilini of subfamily Trochilinae'}",hummingbird,Elliotomyia viridicauda,Trochilini of subfamily Trochilinae
530,The green-backed becard (Pachyramphus viridis) is a species of bird in the family Tityridae,"{'bird': 'Green-backed Becard', 'alternate_names': ['Pachyramphus viridis'], 'scientific_name': 'Pachyramphus viridis'}",Green-backed Becard,['Pachyramphus viridis'],Pachyramphus viridis
531,"The green-backed camaroptera (Camaroptera brachyura), also known as the bleating camaroptera, is a small bird in the family Cisticolidae","{'bird': 'green-backed camaroptera', 'alternate_names': 'bleating camaroptera', 'scientific_name': 'Camaroptera brachyura', 'family': 'Cisticolidae'}",green-backed camaroptera,bleating camaroptera,Camaroptera brachyura
532,The green-backed eremomela (Eremomela canescens) is a member of the Cisticolidae,"{'bird': 'green-backed eremomela', 'alternate_names': 'Eremomela canescens', 'scientific_name': 'Cisticolidae'}",green-backed eremomela,Eremomela canescens,Cisticolidae
533,"The green-backed firecrown (Sephanoides sephaniodes) is a hummingbird in the ""coquettes"", tribe Lesbiini of subfamily Lesbiinae","{'bird': 'Green-backed Firecrown', 'alternate_names': ['Sephanoides sephaniodes'], 'scientific_name': 'Sephanoides sephaniodes'}",Green-backed Firecrown,['Sephanoides sephaniodes'],Sephanoides sephaniodes
535,The green-backed gerygone (Gerygone chloronota) is a species of bird in the family Acanthizidae found in northern Australia and New Guinea,"{'bird': 'Gerygone chloronota', 'alternate_names': 'green-backed gerygone', 'scientific_name': 'Gerygone chloronota'}",Gerygone chloronota,green-backed gerygone,Gerygone chloronota
536,"The green-backed hillstar (Urochroa leucura), formerly included in the white-tailed hillstar, is a species of hummingbird in the ""brilliants"", tribe Heliantheini in subfamily Lesbiinae","{'bird': 'green-backed hillstar', 'alternate_names': 'white-tailed hillstar', 'scientific_name': 'Urochroa leucura'}",green-backed hillstar,white-tailed hillstar,Urochroa leucura
537,"The green-backed honeybird (Prodotiscus zambesiae), also known as the eastern green-backed honeyguide, green-backed honeyguide and slender-billed honeyguide, is a species of bird in the family Indicatoridae","{'bird': 'green-backed honeybird', 'alternate_names': ['eastern green-backed honeyguide', 'green-backed honeyguide', 'slender-billed honeyguide'], 'scientific_name': 'Prodotiscus zambesiae'}",green-backed honeybird,"['eastern green-backed honeyguide', 'green-backed honeyguide', 'slender-billed honeyguide']",Prodotiscus zambesiae
538,The green-backed honeyeater (Glycichaera fallax) is a species of bird in the family Meliphagidae,"{'bird': 'Green-backed honeyeater', 'alternate_names': ['Glycichaera fallax'], 'scientific_name': 'Glycichaera fallax'}",Green-backed honeyeater,['Glycichaera fallax'],Glycichaera fallax
539,"The green-backed kingfisher (Actenoides monachus) is a species of bird in the family Alcedinidae endemic to Indonesia, where it is restricted to north and central Sulawesi, and the islands of Manadotua and Lembeh","{'bird': 'Green-backed Kingfisher', 'alternate_names': 'Actenoides monachus', 'scientific_name': 'Alcedinidae'}",Green-backed Kingfisher,Actenoides monachus,Alcedinidae
540,The green-backed robin (Pachycephalopsis hattamensis) is a species of bird in the family Petroicidae,"{'bird': 'green-backed robin', 'alternate_names': 'Pachycephalopsis hattamensis', 'scientific_name': 'Petroicidae'}",green-backed robin,Pachycephalopsis hattamensis,Petroicidae
541,"The green-backed sparrow (Arremonops chloronotus) is a species of bird in the family Passerellidae that is found in Belize, northern Guatemala, western Honduras and southern Mexico","{'bird': 'Green-backed sparrow', 'alternateNames': ['Arremonops chloronotus'], 'scientificName': 'Arremonops chloronotus'}",Green-backed sparrow,,
542,The green-backed tit (Parus monticolus) is a species of bird in the family Paridae,"{'bird': 'green-backed tit', 'alternate_names': 'Parus monticolus', 'scientific_name': 'Paridae'}",green-backed tit,Parus monticolus,Paridae
545,The green-backed white-eye (Zosterops xanthochroa) is a species of bird in the family Zosteropidae,"{'bird': 'green-backed white-eye', 'alternate_names': ['Zosterops xanthochroa'], 'scientific_name': 'Zosteropidae'}",green-backed white-eye,['Zosterops xanthochroa'],Zosteropidae
547,The green-barred woodpecker or green-barred flicker (Colaptes melanochloros) is a species of bird in subfamily Picinae of the woodpecker family Picidae,"{'bird': 'Green-barred woodpecker or green-barred flicker', 'scientificName': 'Colaptes melanochloros', 'family': 'Picidae', 'subfamily': 'Picinae'}",Green-barred woodpecker or green-barred flicker,,
551,The green-billed malkoha (Phaenicophaeus tristis) is a species of non-parasitic cuckoo found throughout Indian Subcontinent and Southeast Asia,"{'bird': 'green-billed malkoha', 'alternate_names': ['Phaenicophaeus tristis'], 'scientific_name': 'Phaenicophaeus tristis'}",green-billed malkoha,['Phaenicophaeus tristis'],Phaenicophaeus tristis
552,"The green-billed toucan (Ramphastos dicolorus), or red-breasted toucan, is a near-passerine bird in the family Ramphastidae, the toucans, toucanets, and aracaris","{'bird': 'green-billed toucan', 'alternate_names': ['red-breasted toucan'], 'scientific_name': 'Ramphastos dicolorus'}",green-billed toucan,['red-breasted toucan'],Ramphastos dicolorus
553,The green-breasted bushshrike or gladiator bushshrike (Malaconotus gladiator) is a species of bird in the family Malaconotidae,"{'bird': 'Green-breasted Bushshrike', 'alternate_names': ['Gladiator Bushshrike'], 'scientific_name': 'Malaconotus gladiator'}",Green-breasted Bushshrike,['Gladiator Bushshrike'],Malaconotus gladiator
554,The green-breasted mango or Prevost's mango (Anthracothorax prevostii) is a species in subfamily Polytminae of the hummingbird family Trochilidae,"{'bird': 'hummingbird', 'alternate_names': ['green-breasted mango', ""Prevost's mango""], 'scientific_name': 'Anthracothorax prevostii'}",hummingbird,"['green-breasted mango', ""Prevost's mango""]",Anthracothorax prevostii
555,The green-breasted mountaingem or green-breasted mountain-gem (Lampornis sybillae) is a species of hummingbird in tribe Lampornithini of subfamily Trochilinae,"{'bird': 'Green-breasted Mountaingem', 'alternateNames': ['Green-breasted Mountain-gem'], 'scientificName': 'Lampornis sybillae'}",Green-breasted Mountaingem,,
556,The green-breasted pitta (Pitta reichenowi) is a species of bird in the family Pittidae,"{'bird': 'Green-breasted pitta', 'alternateNames': [], 'scientificName': 'Pitta reichenowi'}",Green-breasted pitta,,
557,"The green-capped eremomela or greencap eremomela (Eremomela scotops) is a species of bird formerly placed in the ""Old World warbler"" assemblage, but now placed in the family Cisticolidae","{'bird': 'Green-capped Eremomela', 'alternate_names': ['Greencap Eremomela'], 'scientific_name': 'Eremomela scotops', 'family': 'Cisticolidae'}",Green-capped Eremomela,['Greencap Eremomela'],Eremomela scotops
558,The green-capped tanager (Stilpnia meyerdeschauenseei) is a species of bird in the family Thraupidae,"{'bird': 'green-capped tanager', 'alternate_names': 'Stilpnia meyerdeschauenseei', 'scientific_name': 'Thraupidae'}",green-capped tanager,Stilpnia meyerdeschauenseei,Thraupidae
559,"The green-cheeked parakeet (Pyrrhura molinae), known as the  green-cheeked conure in aviculture, is a species of bird in subfamily Arinae of the family Psittacidae, the African and New World parrots","{'bird': 'green-cheeked parakeet', 'alternate_names': 'green-cheeked conure', 'scientific_name': 'Pyrrhura molinae'}",green-cheeked parakeet,green-cheeked conure,Pyrrhura molinae
560,The green-chinned euphonia (Euphonia chalybea) is a species of bird in the family Fringillidae,"{'bird': 'green-chinned euphonia', 'alternate_names': ['Euphonia chalybea'], 'scientific_name': 'Euphonia chalybea'}",green-chinned euphonia,['Euphonia chalybea'],Euphonia chalybea
561,"The green-crowned brilliant (Heliodoxa jacula) is species of hummingbird in the ""brilliants"", tribe Heliantheini in subfamily Lesbiinae","{'bird': 'Green-crowned Brilliant', 'alternate_names': ['Heliodoxa jacula'], 'scientific_name': 'Heliodoxa jacula'}",Green-crowned Brilliant,['Heliodoxa jacula'],Heliodoxa jacula
565,"The green-faced parrotfinch (Erythrura viridifacies) is a species of estrildid finch found in northern Philippines, on Luzon, Mindoro, Panay, Negros and Cebu islands","{'bird': 'Green-faced Parrotfinch', 'alternate_names': ['Erythrura viridifacies'], 'scientific_name': 'Erythrura viridifacies'}",Green-faced Parrotfinch,['Erythrura viridifacies'],Erythrura viridifacies
567,The green-fronted lancebill (Doryfera ludovicae) is a species of hummingbird in the family Trochilidae,"{'bird': 'Green-fronted lancebill', 'alternate_names': 'Doryfera ludovicae', 'scientific_name': 'Trochilidae'}",Green-fronted lancebill,Doryfera ludovicae,Trochilidae
569,"The green-headed oriole (Oriolus chlorocephalus), or montane oriole, is a species of bird in the family Oriolidae","{'bird': 'green-headed oriole', 'alternate_names': 'montane oriole', 'scientific_name': 'Oriolus chlorocephalus'}",green-headed oriole,montane oriole,Oriolus chlorocephalus
571,"The green-headed tanager (Tangara seledon) is a brightly colored bird found in the Atlantic forest in south-eastern Brazil, far eastern Paraguay, and far north-eastern Argentina (Misiones only)","{'bird': 'green-headed tanager', 'alternate_names': ['Tangara seledon'], 'scientific_name': 'Tangara seledon'}",green-headed tanager,['Tangara seledon'],Tangara seledon
572,"The greenish elaenia (Myiopagis viridicata) is a species of bird in the family Tyrannidae, the tyrant flycatchers","{'bird': 'greenish elaenia', 'alternate_names': ['Myiopagis viridicata'], 'scientific_name': 'Myiopagis viridicata'}",greenish elaenia,['Myiopagis viridicata'],Myiopagis viridicata
573,"The greenish puffleg (Haplophaedia aureliae) is a species of hummingbird in the ""brilliants"", tribe Heliantheini in subfamily Lesbiinae","{'bird': 'Greenish Puffleg', 'alternate_names': 'Haplophaedia aureliae', 'scientific_name': 'Haplophaedia aureliae'}",Greenish Puffleg,Haplophaedia aureliae,Haplophaedia aureliae
574,"The greenish schiffornis (Schiffornis virescens), also greenish mourner or greenish manakin (not to be confused with the green manakin), is a species of bird in the family Tityridae","{'bird': 'Greenish Schiffornis', 'alternate_names': ['Greenish Mourner', 'Greenish Manakin'], 'scientific_name': 'Schiffornis virescens'}",Greenish Schiffornis,"['Greenish Mourner', 'Greenish Manakin']",Schiffornis virescens
575,The greenish tyrannulet (Phyllomyias virescens) is a species of bird in the family Tyrannidae,"{'bird': 'Greenish Tyrannulet', 'alternate_names': [], 'scientific_name': 'Phyllomyias virescens'}",Greenish Tyrannulet,,Phyllomyias virescens
577,The greenish yellow finch (Sicalis olivascens) is a species of bird in the family Thraupidae,"{'bird': 'greenish yellow finch', 'alternate_names': 'Sicalis olivascens', 'scientific_name': 'Thraupidae'}",greenish yellow finch,Sicalis olivascens,Thraupidae
578,"The green-legged partridge (Tropicoperdix chloropus), also known as the scaly-breasted partridge or green-legged hill-partridge, is a bird species in the family Phasianidae","{'bird': 'green-legged partridge', 'alternate_names': ['scaly-breasted partridge', 'green-legged hill-partridge'], 'scientific_name': 'Tropicoperdix chloropus'}",green-legged partridge,"['scaly-breasted partridge', 'green-legged hill-partridge']",Tropicoperdix chloropus
579,The green-naped tanager (Tangara fucosa) is a species of bird in the family Thraupidae,"{'bird': 'green-naped tanager', 'alternate_names': 'Tangara fucosa', 'scientific_name': 'Thraupidae'}",green-naped tanager,Tangara fucosa,Thraupidae
580,The green-rumped parrotlet (Forpus passerinus) is a species of parrot in the family Psittacidae that is found in northeastern South America and the Caribbean island of Trinidad,"{'bird': 'green-rumped parrotlet', 'alternate_names': ['Forpus passerinus'], 'scientific_name': 'Psittacidae'}",green-rumped parrotlet,['Forpus passerinus'],Psittacidae
582,"The green-tailed bristlebill (Bleda eximius) is a species of songbird in the bulbul family, Pycnonotidae","{'bird': 'green-tailed bristlebill', 'alternate_names': 'Bleda eximius', 'scientific_name': 'Pycnonotidae'}",green-tailed bristlebill,Bleda eximius,Pycnonotidae
584,"The green-tailed goldenthroat (Polytmus theresiae) is a species of hummingbird in the subfamily Polytminae, the mangoes","{'bird': 'Green-tailed Goldenthroat', 'alternate_names': ['Polytmus theresiae'], 'scientific_name': 'Polytminae'}",Green-tailed Goldenthroat,['Polytmus theresiae'],Polytminae
586,The green-tailed sunbird (Aethopyga nipalensis) or Nepal yellow-backed sunbird is a species of bird in the family Nectariniidae,"{'bird': 'green-tailed sunbird', 'alternate_names': ['Nepal yellow-backed sunbird'], 'scientific_name': 'Aethopyga nipalensis', 'family': 'Nectariniidae'}",green-tailed sunbird,['Nepal yellow-backed sunbird'],Aethopyga nipalensis
587,"The green-tailed towhee (Pipilo chlorurus) is the smallest towhee, but is still one of the larger members of the American sparrow family Passerellidae","{'bird': 'Green-tailed Towhee', 'alternate_names': ['Pipilo chlorurus'], 'scientific_name': 'Pipilo chlorurus'}",Green-tailed Towhee,['Pipilo chlorurus'],Pipilo chlorurus
588,"The green-tailed trainbearer (Lesbia nuna) is a species of hummingbird in the ""coquettes"", tribe Lesbiini of subfamily Lesbiinae","{'bird': 'Green-tailed Trainbearer', 'alternate_names': ['Lesbia nuna'], 'scientific_name': 'Lesbiinae'}",Green-tailed Trainbearer,['Lesbia nuna'],Lesbiinae
